order_id,customer_id,rider_id,facility_id,order_date,order_time,service_type,weight_kg,base_price_per_kg,discount_pct,final_amount,payment_method,status,pickup_time,delivery_time,customer_rating,is_first_order,promo_used
ORD00013,CUST0233,RIDER009,FAC07,10-12-2023,4.30.17,Wash & Fold,5.8,199,10,1038.78,Cash,Completed,10-12-2023 5.19,10-12-2023 23.07,3.9,FALSE,FALSE
ORD00014,CUST0359,RIDER005,FAC01,28-08-2023,8.41.49,Wash & Fold,3.8,199,20,604.96,UPI,Delayed,28-08-2023 9.57,28-08-2023 19.07,,FALSE,FALSE
ORD00015,CUST0457,RIDER025,FAC08,11-08-2023,23.45.31,Wash & Iron,2.3,299,0,687.7,Cash,Delayed,12-08-2023 3.40,12-08-2023 23.08,,FALSE,FALSE
ORD00016,CUST0373,RIDER015,FAC01,29-05-2024,0.42.25,Premium Care,1.9,599,20,910.48,UPI,Completed,29-05-2024 1.49,29-05-2024 19.33,4.9,FALSE,FALSE
ORD00017,CUST0372,RIDER049,FAC02,26-11-2023,10.19.10,Premium Care,3.7,599,0,2216.3,UPI,Completed,26-11-2023 12.01,27-11-2023 1.52,4.5,FALSE,FALSE
ORD00018,CUST0025,RIDER016,FAC01,17-11-2024,10.25.02,Wash & Fold,2.7,199,0,537.3,Cash,Cancelled,,,,FALSE,FALSE
ORD00019,CUST0307,RIDER050,FAC06,08-08-2024,22.46.07,Wash & Fold,2,199,30,278.6,Credit Card,Completed,09-08-2024 2.07,09-08-2024 22.55,3.3,TRUE,FALSE
ORD00020,CUST0219,RIDER036,FAC08,21-06-2023,16.32.07,Wash & Iron,3.1,299,0,926.9,UPI,Cancelled,,,,FALSE,FALSE
ORD00021,CUST0276,RIDER031,FAC04,05-06-2024,10.43.54,Wash & Iron,6.5,299,0,1943.5,Credit Card,Completed,05-06-2024 12.39,06-06-2024 1.25,3.3,FALSE,FALSE
ORD00022,CUST0170,RIDER042,FAC02,11-12-2024,12.00.41,Wash & Fold,4.9,199,30,682.57,Cash,Cancelled,,,,FALSE,TRUE
ORD00023,CUST0390,RIDER038,FAC04,16-07-2024,19.14.16,Dry Clean,1.4,399,0,558.6,Cash,Cancelled,,,,FALSE,FALSE
ORD00024,CUST0125,RIDER045,FAC04,24-08-2023,11.50.03,Wash & Fold,2.5,199,0,497.5,Cash,Delayed,24-08-2023 12.44,25-08-2023 14.41,,FALSE,FALSE
ORD00025,CUST0239,RIDER007,FAC08,25-08-2024,8.37.35,Ironing,3.7,149,0,551.3,Debit Card,Completed,25-08-2024 10.12,26-08-2024 1.26,4.8,FALSE,FALSE
ORD00026,CUST0079,RIDER013,FAC06,12-03-2024,22.13.15,Dry Clean,6.2,399,0,2473.8,Credit Card,Cancelled,,,,FALSE,FALSE
ORD00027,CUST0379,RIDER032,FAC08,23-01-2024,19.39.15,Premium Care,5.6,599,10,3018.96,Credit Card,Completed,23-01-2024 22.49,24-01-2024 16.04,4.3,FALSE,TRUE
ORD00028,CUST0039,RIDER053,FAC01,29-02-2024,12.21.43,Wash & Iron,2.3,299,20,550.16,UPI,Delayed,29-02-2024 16.12,01-03-2024 10.19,,FALSE,FALSE
ORD00029,CUST0479,RIDER040,FAC08,29-06-2023,18.13.52,Wash & Fold,6,199,0,1194,Cash,Cancelled,,,,TRUE,FALSE
ORD00030,CUST0346,RIDER028,FAC03,16-11-2023,11.54.20,Wash & Fold,1.1,199,10,197.01,UPI,Cancelled,,,,FALSE,FALSE
ORD00031,CUST0208,RIDER030,FAC04,07-07-2023,3.59.04,Dry Clean,5.3,399,0,2114.7,Credit Card,Completed,07-07-2023 5.25,07-07-2023 20.18,3.2,FALSE,TRUE
ORD00032,CUST0043,RIDER032,FAC07,28-10-2024,14.21.52,Wash & Fold,1.7,199,0,338.3,Debit Card,Cancelled,,,,FALSE,FALSE
ORD00033,CUST0039,RIDER044,FAC05,16-03-2023,1.40.24,Premium Care,7.4,599,0,4432.6,Wallet,Delayed,16-03-2023 5.16,16-03-2023 20.55,,FALSE,TRUE
ORD00034,CUST0040,RIDER020,FAC03,22-12-2024,9.27.35,Ironing,1.1,149,0,163.9,Wallet,Completed,22-12-2024 12.35,23-12-2024 9.13,3.1,FALSE,FALSE
ORD00035,CUST0382,RIDER023,FAC01,27-11-2024,8.27.05,Premium Care,3.3,599,10,1779.03,UPI,Completed,27-11-2024 11.43,28-11-2024 7.16,3.6,FALSE,FALSE
ORD00036,CUST0252,RIDER015,FAC06,20-08-2024,7.18.15,Premium Care,7.7,599,0,4612.3,Wallet,Completed,20-08-2024 7.54,20-08-2024 21.48,4.9,FALSE,FALSE
ORD00037,CUST0365,RIDER051,FAC03,28-05-2024,3.49.01,Wash & Iron,1.6,299,10,430.56,Cash,Completed,28-05-2024 6.48,28-05-2024 15.35,3.3,TRUE,TRUE
ORD00038,CUST0263,RIDER027,FAC02,28-08-2023,10.31.18,Wash & Iron,3.5,299,0,1046.5,UPI,Completed,28-08-2023 11.19,29-08-2023 3.11,2.7,FALSE,FALSE
ORD00039,CUST0464,RIDER016,FAC03,01-09-2024,6.59.51,Ironing,7,149,0,1043,Cash,Completed,01-09-2024 8.51,01-09-2024 19.10,2.9,FALSE,FALSE
ORD00040,CUST0127,RIDER047,FAC08,24-04-2023,8.25.20,Wash & Fold,2.2,199,0,437.8,Wallet,Completed,24-04-2023 10.37,24-04-2023 19.30,4,FALSE,TRUE
ORD00041,CUST0334,RIDER039,FAC03,06-01-2023,6.09.10,Wash & Iron,3.3,299,10,888.03,Debit Card,Completed,06-01-2023 8.11,07-01-2023 0.35,3.3,FALSE,FALSE
ORD00042,CUST0401,RIDER016,FAC06,02-09-2023,0.48.03,Dry Clean,7.8,399,30,2178.54,Cash,Completed,02-09-2023 3.52,03-09-2023 0.12,3.2,FALSE,FALSE
ORD00043,CUST0237,RIDER046,FAC04,24-12-2024,22.59.27,Premium Care,2.4,599,30,1006.32,Cash,Completed,25-12-2024 1.52,25-12-2024 20.41,4.5,FALSE,TRUE
ORD00044,CUST0405,RIDER025,FAC02,20-10-2024,11.54.44,Wash & Iron,5.7,299,0,1704.3,Cash,Completed,20-10-2024 13.15,21-10-2024 9.32,5,FALSE,FALSE
ORD00045,CUST0469,RIDER006,FAC02,29-01-2024,11.56.38,Wash & Iron,4.8,299,10,1291.68,Credit Card,Completed,29-01-2024 14.53,30-01-2024 13.42,4.1,FALSE,FALSE
ORD00046,CUST0055,RIDER001,FAC02,04-02-2023,9.45.00,Premium Care,7.9,599,10,4258.89,Debit Card,Completed,04-02-2023 13.38,05-02-2023 4.11,3.1,FALSE,FALSE
ORD00047,CUST0177,RIDER002,FAC08,18-06-2024,2.59.37,Premium Care,2.5,599,0,1497.5,UPI,Completed,18-06-2024 6.11,19-06-2024 0.47,3.2,FALSE,TRUE
ORD00048,CUST0370,RIDER045,FAC08,07-10-2024,16.53.09,Dry Clean,3.4,399,0,1356.6,Debit Card,Completed,07-10-2024 19.12,08-10-2024 8.40,2.7,TRUE,FALSE
ORD00049,CUST0283,RIDER011,FAC06,18-01-2023,13.01.01,Ironing,5.5,149,10,737.55,Wallet,Completed,18-01-2023 16.46,19-01-2023 14.07,3.6,FALSE,FALSE
ORD00050,CUST0304,RIDER028,FAC07,04-05-2024,3.34.59,Dry Clean,2.3,399,10,825.93,UPI,Completed,04-05-2024 4.11,04-05-2024 22.38,4.3,FALSE,FALSE
ORD00051,CUST0135,RIDER043,FAC08,20-09-2024,3.48.57,Wash & Fold,5,199,10,895.5,Wallet,Cancelled,,,,FALSE,FALSE
ORD00052,CUST0362,RIDER052,FAC05,29-10-2023,20.45.39,Premium Care,3.7,599,0,2216.3,Wallet,Completed,30-10-2023 0.13,30-10-2023 19.57,4,FALSE,FALSE
ORD00053,CUST0197,RIDER028,FAC03,05-07-2023,7.19.04,Ironing,1.8,149,0,268.2,Cash,Completed,05-07-2023 9.36,06-07-2023 0.24,4.1,FALSE,FALSE
ORD00054,CUST0184,RIDER001,FAC08,15-05-2023,13.19.50,Premium Care,2.2,599,0,1317.8,Credit Card,Completed,15-05-2023 14.55,16-05-2023 6.09,3,FALSE,FALSE
ORD00055,CUST0016,RIDER051,FAC04,22-05-2024,6.06.09,Wash & Iron,3.9,299,0,1166.1,Debit Card,Delayed,22-05-2024 9.32,23-05-2024 1.30,,TRUE,FALSE
ORD00056,CUST0397,RIDER035,FAC06,13-08-2023,5.12.16,Dry Clean,6.5,399,0,2593.5,Wallet,Completed,13-08-2023 7.37,13-08-2023 16.53,4.6,TRUE,FALSE
ORD00057,CUST0231,RIDER017,FAC06,29-02-2024,8.45.47,Dry Clean,7.9,399,0,3152.1,UPI,Delayed,29-02-2024 11.53,01-03-2024 2.15,,FALSE,FALSE
ORD00058,CUST0085,RIDER040,FAC03,25-08-2024,10.49.18,Dry Clean,2.5,399,10,897.75,Credit Card,Delayed,25-08-2024 12.32,26-08-2024 9.36,,FALSE,FALSE
ORD00059,CUST0137,RIDER055,FAC02,18-03-2024,18.57.21,Ironing,4.7,149,0,700.3,Credit Card,Completed,18-03-2024 20.35,19-03-2024 16.50,4.9,FALSE,FALSE
ORD00060,CUST0347,RIDER026,FAC08,04-08-2023,9.41.07,Dry Clean,5.9,399,0,2354.1,Credit Card,Completed,04-08-2023 12.40,05-08-2023 12.06,3.9,FALSE,FALSE
ORD00061,CUST0450,RIDER024,FAC08,18-12-2023,1.44.11,Wash & Fold,5.4,199,20,859.68,Cash,Completed,18-12-2023 3.38,19-12-2023 1.31,3.3,TRUE,FALSE
ORD00062,CUST0204,RIDER014,FAC07,23-07-2024,2.57.57,Wash & Fold,6.1,199,0,1213.9,Credit Card,Delayed,23-07-2024 5.54,24-07-2024 5.47,,FALSE,FALSE
ORD00063,CUST0024,RIDER007,FAC08,09-08-2023,6.33.29,Ironing,4.8,149,0,715.2,UPI,Completed,09-08-2023 9.49,10-08-2023 10.26,2.8,FALSE,FALSE
ORD00064,CUST0449,RIDER018,FAC02,01-01-2023,12.36.00,Wash & Iron,2.4,299,10,645.84,Debit Card,Completed,01-01-2023 16.11,02-01-2023 6.22,3.1,FALSE,FALSE
ORD00065,CUST0049,RIDER001,FAC04,09-05-2023,13.36.40,Wash & Fold,3.8,199,0,756.2,Cash,Delayed,09-05-2023 16.45,10-05-2023 7.39,,TRUE,FALSE
ORD00066,CUST0037,RIDER015,FAC07,08-02-2024,11.08.33,Wash & Iron,1.1,299,10,296.01,UPI,Completed,08-02-2024 15.06,09-02-2024 5.58,4.3,TRUE,FALSE
ORD00067,CUST0289,RIDER001,FAC03,15-11-2024,6.49.30,Ironing,2,149,10,268.2,Cash,Completed,15-11-2024 9.34,16-11-2024 4.53,3.4,FALSE,FALSE
ORD00068,CUST0302,RIDER047,FAC07,15-12-2024,12.04.09,Wash & Iron,5.3,299,0,1584.7,Debit Card,Completed,15-12-2024 12.52,15-12-2024 23.11,4.9,FALSE,TRUE
ORD00069,CUST0435,RIDER055,FAC05,04-08-2023,3.03.04,Wash & Fold,2.7,199,10,483.57,Credit Card,Delayed,04-08-2023 5.40,05-08-2023 4.04,,FALSE,FALSE
ORD00070,CUST0305,RIDER005,FAC01,03-08-2024,20.48.57,Wash & Iron,3.1,299,0,926.9,Debit Card,Completed,03-08-2024 23.02,04-08-2024 9.04,4.8,TRUE,FALSE
ORD00071,CUST0035,RIDER001,FAC05,17-03-2024,11.22.42,Wash & Iron,3.6,299,10,968.76,Credit Card,Completed,17-03-2024 15.13,18-03-2024 12.07,2.6,TRUE,FALSE
ORD00072,CUST0276,RIDER040,FAC03,29-01-2024,11.54.22,Ironing,5.4,149,0,804.6,Debit Card,Completed,29-01-2024 13.53,30-01-2024 5.24,2.7,TRUE,FALSE
ORD00073,CUST0159,RIDER045,FAC07,19-09-2024,15.19.54,Dry Clean,4.8,399,0,1915.2,Credit Card,Delayed,19-09-2024 18.30,20-09-2024 14.29,,TRUE,TRUE
ORD00074,CUST0007,RIDER046,FAC03,04-12-2023,11.21.40,Wash & Fold,4.2,199,10,752.22,UPI,Completed,04-12-2023 14.11,05-12-2023 9.23,2.9,FALSE,FALSE
ORD00075,CUST0172,RIDER052,FAC07,31-08-2024,3.56.14,Ironing,2.2,149,0,327.8,Debit Card,Completed,31-08-2024 7.00,31-08-2024 17.55,3.8,FALSE,FALSE
ORD00076,CUST0131,RIDER050,FAC02,02-05-2024,10.03.35,Wash & Fold,4.5,199,0,895.5,Wallet,Completed,02-05-2024 12.18,03-05-2024 6.14,4.2,TRUE,FALSE
ORD00077,CUST0477,RIDER055,FAC01,02-01-2023,23.52.49,Wash & Fold,7,199,0,1393,Wallet,Completed,03-01-2023 2.01,03-01-2023 16.13,4.5,FALSE,FALSE
ORD00078,CUST0258,RIDER044,FAC01,24-06-2023,9.16.07,Ironing,2.7,149,20,321.84,Credit Card,Completed,24-06-2023 10.43,24-06-2023 19.51,3.1,FALSE,TRUE
ORD00079,CUST0103,RIDER019,FAC05,08-11-2023,9.46.51,Wash & Fold,7.1,199,20,1130.32,Wallet,Completed,08-11-2023 11.25,09-11-2023 4.23,3.1,FALSE,FALSE
ORD00080,CUST0278,RIDER023,FAC01,23-08-2024,2.33.18,Dry Clean,6.1,399,0,2433.9,Debit Card,Completed,23-08-2024 3.34,24-08-2024 3.24,2.5,FALSE,FALSE
ORD00081,CUST0073,RIDER046,FAC05,18-07-2024,20.16.15,Ironing,1.7,149,0,253.3,UPI,Completed,18-07-2024 22.14,20-07-2024 0.29,2.6,FALSE,FALSE
ORD00082,CUST0039,RIDER038,FAC01,17-11-2023,19.56.12,Ironing,4.2,149,10,563.22,Cash,Cancelled,,,,FALSE,TRUE
ORD00083,CUST0140,RIDER015,FAC02,15-08-2023,13.14.06,Ironing,7,149,20,834.4,Credit Card,Completed,15-08-2023 16.11,16-08-2023 13.03,2.8,FALSE,TRUE
ORD00084,CUST0158,RIDER030,FAC05,24-03-2023,1.36.11,Dry Clean,4.1,399,0,1635.9,UPI,Completed,24-03-2023 3.58,25-03-2023 4.45,2.7,FALSE,FALSE
ORD00085,CUST0203,RIDER033,FAC01,01-07-2024,8.38.58,Premium Care,1.3,599,20,622.96,Debit Card,Completed,01-07-2024 9.40,02-07-2024 7.24,3.2,FALSE,TRUE
ORD00086,CUST0007,RIDER004,FAC04,11-11-2023,2.25.02,Wash & Iron,4.9,299,0,1465.1,Credit Card,Completed,11-11-2023 4.32,12-11-2023 2.17,3,FALSE,FALSE
ORD00087,CUST0228,RIDER052,FAC03,29-12-2024,5.39.46,Wash & Fold,5.1,199,0,1014.9,UPI,Completed,29-12-2024 6.14,29-12-2024 16.12,4.8,FALSE,FALSE
ORD00088,CUST0350,RIDER028,FAC03,03-02-2023,3.55.01,Wash & Iron,1.4,299,20,334.88,Debit Card,Completed,03-02-2023 7.17,03-02-2023 21.27,3,FALSE,FALSE
ORD00089,CUST0246,RIDER004,FAC02,17-11-2024,4.12.47,Dry Clean,1.2,399,10,430.92,Debit Card,Completed,17-11-2024 6.58,18-11-2024 0.43,3.5,FALSE,FALSE
ORD00090,CUST0184,RIDER031,FAC08,11-09-2024,4.50.48,Premium Care,2.7,599,30,1132.11,Debit Card,Cancelled,,,,FALSE,FALSE
ORD00091,CUST0415,RIDER031,FAC06,29-10-2023,15.57.06,Ironing,2.3,149,0,342.7,Wallet,Completed,29-10-2023 16.33,30-10-2023 14.42,5,FALSE,TRUE
ORD00092,CUST0434,RIDER052,FAC07,25-05-2024,4.50.25,Dry Clean,2.9,399,20,925.68,Debit Card,Delayed,25-05-2024 5.32,26-05-2024 6.54,,FALSE,FALSE
ORD00093,CUST0359,RIDER023,FAC03,15-05-2023,22.13.37,Dry Clean,2.7,399,0,1077.3,Wallet,Delayed,16-05-2023 1.10,17-05-2023 0.40,,FALSE,FALSE
ORD00094,CUST0270,RIDER031,FAC01,21-09-2024,10.58.21,Wash & Iron,4.8,299,0,1435.2,Debit Card,Completed,21-09-2024 11.47,21-09-2024 23.24,4.8,FALSE,TRUE
ORD00095,CUST0073,RIDER050,FAC02,10-07-2024,20.41.10,Dry Clean,7.4,399,20,2362.08,Wallet,Completed,10-07-2024 21.23,11-07-2024 8.27,4.7,FALSE,FALSE
ORD00096,CUST0406,RIDER041,FAC08,29-05-2024,7.10.33,Wash & Iron,5.1,299,0,1524.9,Debit Card,Completed,29-05-2024 8.09,29-05-2024 19.53,2.9,FALSE,FALSE
ORD00097,CUST0151,RIDER009,FAC03,22-12-2024,10.55.46,Premium Care,6.5,599,0,3893.5,UPI,Cancelled,,,,FALSE,FALSE
ORD00098,CUST0073,RIDER022,FAC02,01-11-2023,3.58.46,Premium Care,1.2,599,10,646.92,Credit Card,Cancelled,,,,FALSE,FALSE
ORD00099,CUST0128,RIDER045,FAC02,09-05-2024,3.22.51,Wash & Fold,6.8,199,10,1217.88,Debit Card,Delayed,09-05-2024 6.59,09-05-2024 22.33,,FALSE,TRUE
ORD00100,CUST0280,RIDER025,FAC02,01-01-2023,23.52.57,Wash & Fold,3.7,199,10,662.67,Cash,Completed,02-01-2023 3.28,02-01-2023 20.06,4.5,FALSE,FALSE
ORD00101,CUST0038,RIDER022,FAC03,25-06-2023,5.10.00,Dry Clean,4.2,399,10,1508.22,Cash,Completed,25-06-2023 6.41,25-06-2023 21.20,2.9,TRUE,FALSE
ORD00102,CUST0311,RIDER057,FAC07,14-03-2023,7.35.49,Ironing,5.2,149,10,697.32,Credit Card,Completed,14-03-2023 10.33,15-03-2023 2.38,2.6,FALSE,FALSE
ORD00103,CUST0202,RIDER037,FAC08,14-11-2023,21.31.46,Premium Care,6.1,599,10,3288.51,Credit Card,Completed,15-11-2023 0.20,15-11-2023 12.53,2.6,TRUE,TRUE
ORD00104,CUST0433,RIDER008,FAC05,01-10-2024,22.33.32,Premium Care,4.4,599,0,2635.6,Cash,Completed,01-10-2024 23.39,02-10-2024 12.04,3.7,FALSE,FALSE
ORD00105,CUST0239,RIDER017,FAC04,13-05-2024,13.15.23,Premium Care,3.7,599,0,2216.3,Debit Card,Completed,13-05-2024 15.02,14-05-2024 6.35,3.9,FALSE,FALSE
ORD00106,CUST0431,RIDER025,FAC07,17-03-2023,2.40.03,Wash & Fold,5.7,199,20,907.44,Wallet,Completed,17-03-2023 6.33,18-03-2023 1.17,4.2,FALSE,FALSE
ORD00107,CUST0293,RIDER044,FAC03,03-07-2023,0.41.08,Wash & Iron,3.1,299,0,926.9,UPI,Delayed,03-07-2023 1.18,03-07-2023 19.37,,FALSE,FALSE
ORD00108,CUST0422,RIDER041,FAC03,10-05-2023,20.10.38,Dry Clean,6.7,399,0,2673.3,Wallet,Completed,10-05-2023 20.57,11-05-2023 16.39,3.1,FALSE,FALSE
ORD00109,CUST0007,RIDER051,FAC07,22-02-2023,1.11.36,Wash & Fold,3.7,199,0,736.3,UPI,Completed,22-02-2023 4.41,22-02-2023 22.52,3.5,TRUE,FALSE
ORD00110,CUST0450,RIDER027,FAC05,12-08-2024,1.10.44,Wash & Fold,7.5,199,0,1492.5,Cash,Completed,12-08-2024 4.25,13-08-2024 4.48,4.1,FALSE,FALSE
ORD00111,CUST0170,RIDER045,FAC04,14-05-2023,18.02.08,Ironing,3.8,149,10,509.58,UPI,Delayed,14-05-2023 20.57,15-05-2023 6.26,,FALSE,FALSE
ORD00112,CUST0351,RIDER007,FAC04,27-11-2024,17.52.35,Ironing,1.1,149,20,131.12,Credit Card,Completed,27-11-2024 19.27,28-11-2024 19.21,3.3,FALSE,FALSE
ORD00113,CUST0380,RIDER032,FAC06,07-09-2023,5.25.08,Ironing,6.1,149,10,818.01,UPI,Completed,07-09-2023 6.34,07-09-2023 19.01,3.8,FALSE,FALSE
ORD00114,CUST0429,RIDER004,FAC04,29-01-2024,15.20.55,Wash & Iron,1.9,299,20,454.48,UPI,Cancelled,,,,FALSE,FALSE
ORD00115,CUST0124,RIDER024,FAC08,01-07-2024,7.19.43,Dry Clean,2.9,399,20,925.68,Wallet,Cancelled,,,,FALSE,FALSE
ORD00116,CUST0198,RIDER004,FAC03,04-01-2024,14.51.18,Premium Care,4.9,599,0,2935.1,Wallet,Completed,04-01-2024 17.58,05-01-2024 13.56,4.4,FALSE,FALSE
ORD00117,CUST0243,RIDER059,FAC03,24-06-2023,20.23.33,Dry Clean,2.9,399,0,1157.1,Credit Card,Completed,24-06-2023 23.55,26-06-2023 1.41,4,TRUE,FALSE
ORD00118,CUST0130,RIDER014,FAC08,17-09-2024,7.52.57,Ironing,6,149,10,804.6,Debit Card,Completed,17-09-2024 9.51,18-09-2024 0.20,4.2,FALSE,FALSE
ORD00119,CUST0351,RIDER007,FAC08,21-03-2023,11.14.09,Wash & Fold,4.6,199,10,823.86,UPI,Completed,21-03-2023 13.42,22-03-2023 7.57,3.3,FALSE,FALSE
ORD00120,CUST0461,RIDER004,FAC07,04-08-2023,1.30.33,Ironing,5.6,149,30,584.08,Debit Card,Delayed,04-08-2023 3.03,04-08-2023 14.17,,FALSE,FALSE
ORD00121,CUST0293,RIDER053,FAC04,24-05-2024,1.33.07,Wash & Iron,8,299,0,2392,Debit Card,Completed,24-05-2024 3.28,25-05-2024 0.53,4.3,FALSE,FALSE
ORD00122,CUST0286,RIDER012,FAC05,01-09-2024,15.32.29,Wash & Iron,7.3,299,10,1964.43,UPI,Cancelled,,,,FALSE,FALSE
ORD00123,CUST0115,RIDER048,FAC05,17-07-2024,6.27.31,Premium Care,6.3,599,0,3773.7,Cash,Delayed,17-07-2024 10.06,18-07-2024 5.19,,FALSE,FALSE
ORD00124,CUST0318,RIDER005,FAC08,22-07-2023,9.10.34,Premium Care,3.1,599,20,1485.52,Credit Card,Completed,22-07-2023 9.51,23-07-2023 5.26,3.8,FALSE,FALSE
ORD00125,CUST0458,RIDER059,FAC08,20-08-2023,17.45.15,Wash & Iron,1.4,299,20,334.88,Credit Card,Completed,20-08-2023 21.43,21-08-2023 12.52,3.3,FALSE,FALSE
ORD00126,CUST0397,RIDER011,FAC03,14-01-2024,17.09.56,Ironing,5.4,149,0,804.6,Cash,Delayed,14-01-2024 17.52,15-01-2024 9.25,,FALSE,FALSE
ORD00127,CUST0103,RIDER047,FAC06,11-04-2023,12.18.06,Premium Care,4,599,0,2396,UPI,Completed,11-04-2023 16.10,12-04-2023 6.09,4.7,FALSE,FALSE
ORD00128,CUST0258,RIDER038,FAC05,14-01-2023,21.58.50,Wash & Fold,5.4,199,0,1074.6,Credit Card,Delayed,15-01-2023 1.33,15-01-2023 14.22,,TRUE,TRUE
ORD00129,CUST0462,RIDER032,FAC06,14-08-2023,21.25.22,Wash & Iron,6.1,299,0,1823.9,Credit Card,Completed,14-08-2023 23.26,15-08-2023 19.04,2.9,FALSE,FALSE
ORD00130,CUST0188,RIDER046,FAC01,15-01-2023,20.30.39,Dry Clean,2.6,399,30,726.18,Cash,Completed,15-01-2023 23.34,16-01-2023 17.31,4.7,FALSE,FALSE
ORD00131,CUST0228,RIDER025,FAC02,07-02-2023,17.43.35,Premium Care,8,599,10,4312.8,Wallet,Delayed,07-02-2023 21.09,08-02-2023 5.15,,FALSE,FALSE
ORD00132,CUST0215,RIDER054,FAC02,09-06-2023,14.42.10,Wash & Fold,3.1,199,10,555.21,Wallet,Delayed,09-06-2023 17.01,10-06-2023 12.38,,FALSE,TRUE
ORD00133,CUST0210,RIDER019,FAC03,30-03-2023,13.20.52,Wash & Fold,4.5,199,10,805.95,UPI,Completed,30-03-2023 16.45,31-03-2023 17.59,3.9,FALSE,FALSE
ORD00134,CUST0077,RIDER006,FAC02,09-01-2024,8.13.31,Ironing,2.6,149,0,387.4,UPI,Completed,09-01-2024 11.53,10-01-2024 11.16,4.8,FALSE,FALSE
ORD00135,CUST0347,RIDER021,FAC07,18-08-2023,22.15.12,Ironing,4.2,149,0,625.8,UPI,Completed,19-08-2023 1.48,20-08-2023 0.52,2.7,FALSE,TRUE
ORD00136,CUST0376,RIDER006,FAC06,23-10-2024,18.24.26,Dry Clean,5.6,399,0,2234.4,Debit Card,Completed,23-10-2024 22.02,24-10-2024 22.45,3,FALSE,FALSE
ORD00137,CUST0357,RIDER047,FAC01,31-07-2023,3.20.09,Wash & Iron,5.8,299,0,1734.2,Credit Card,Completed,31-07-2023 6.06,01-08-2023 3.40,2.8,FALSE,FALSE
ORD00138,CUST0373,RIDER058,FAC03,17-03-2024,21.52.27,Wash & Iron,2.3,299,0,687.7,Cash,Completed,18-03-2024 0.30,19-03-2024 0.48,4.8,TRUE,FALSE
ORD00139,CUST0371,RIDER037,FAC04,05-02-2023,16.59.10,Wash & Fold,2.8,199,0,557.2,Debit Card,Delayed,05-02-2023 20.31,06-02-2023 14.27,,FALSE,FALSE
ORD00140,CUST0430,RIDER053,FAC01,25-04-2024,4.48.38,Wash & Fold,4,199,10,716.4,UPI,Completed,25-04-2024 6.31,26-04-2024 2.27,4.1,FALSE,FALSE
ORD00141,CUST0260,RIDER015,FAC07,23-10-2024,16.01.45,Wash & Iron,7.1,299,0,2122.9,Cash,Completed,23-10-2024 17.39,24-10-2024 7.09,4.5,TRUE,FALSE
ORD00142,CUST0053,RIDER026,FAC07,21-03-2024,2.08.43,Wash & Iron,1.6,299,0,478.4,UPI,Completed,21-03-2024 3.03,21-03-2024 20.19,3.9,TRUE,TRUE
